小韻號,母,呼,等,重紐,韻,聲,反切
429,徹,合,三,,眞,平,丑倫
430,澄,合,三,,眞,平,直倫
431,心,合,三,,眞,平,相倫
432,常,合,三,,眞,平,常倫
433,日,合,三,,眞,平,如勻
434,船,合,三,,眞,平,食倫
435,來,合,三,,眞,平,力迍
436,知,合,三,,眞,平,陟綸
437,清,合,三,,眞,平,七倫
438,精,合,三,,眞,平,將倫
439,昌,合,三,,眞,平,昌脣
440,從,合,三,,眞,平,昨旬
441,以,合,三,A,眞,平,羊倫
442,邪,合,三,,眞,平,詳遵
443,見,合,三,A,眞,平,居勻
444,羣,開,三,A,眞,平,渠人
445,滂,,三,B,眞,平,普巾
446,莊,開,三,,臻,平,側詵
447,生,開,三,,臻,平,所臻
448,崇,開,三,,臻,平,士臻
449,明,,三,,文,平,無分
450,云,合,三,,文,平,王分
451,影,合,三,,文,平,於云
452,並,,三,,文,平,符分
453,幫,,三,,文,平,府文
454,羣,合,三,,文,平,渠云
455,曉,合,三,,文,平,許云
456,見,合,三,,文,平,舉云
457,滂,,三,,文,平,撫文
458,曉,開,三,,欣,平,許斤
459,影,開,三,,欣,平,於斤
460,羣,開,三,,欣,平,巨斤
461,見,開,三,,欣,平,舉欣
462,疑,開,三,,欣,平,語斤
463,疑,合,三,,元,平,愚袁
464,云,合,三,,元,平,雨元
465,並,,三,,元,平,附袁
466,滂,,三,,元,平,孚袁
467,曉,合,三,,元,平,況袁
468,影,合,三,,元,平,於袁
469,疑,開,三,,元,平,語軒
470,溪,開,三,,元,平,丘言
471,曉,開,三,,元,平,虛言
472,見,開,三,,元,平,居言
473,影,開,三,,元,平,謁言
474,幫,,三,,元,平,甫煩
475,羣,開,三,,元,平,巨言
476,明,,三,,元,平,武元
477,匣,合,一,,魂,平,戶昆
478,見,合,一,,魂,平,古渾
479,影,合,一,,魂,平,烏渾
480,明,,一,,魂,平,莫奔
481,心,合,一,,魂,平,思渾
482,精,合,一,,魂,平,祖昆
483,從,合,一,,魂,平,徂尊
484,端,合,一,,魂,平,都昆
485,透,合,一,,魂,平,他昆
486,定,合,一,,魂,平,徒渾
487,清,合,一,,魂,平,此尊
488,疑,合,一,,魂,平,牛昆
489,並,,一,,魂,平,蒲奔
490,幫,,一,,魂,平,博昆
491,來,合,一,,魂,平,盧昆
492,溪,合,一,,魂,平,苦昆
493,曉,合,一,,魂,平,呼昆
494,滂,,一,,魂,平,普䰟
495,泥,合,一,,魂,平,奴昆
496,匣,開,一,,痕,平,戶恩
497,見,開,一,,痕,平,古痕
498,影,開,一,,痕,平,烏痕
499,透,開,一,,痕,平,吐根
500,疑,開,一,,痕,平,五根
501,匣,開,一,,寒,平,胡安
502,疑,開,一,,寒,平,俄寒
503,端,開,一,,寒,平,都寒
504,影,開,一,,寒,平,烏寒
505,泥,開,一,,寒,平,那干
506,清,開,一,,寒,平,七安
507,透,開,一,,寒,平,他干
508,心,開,一,,寒,平,蘇干
509,定,開,一,,寒,平,徒干
510,從,開,一,,寒,平,昨干
511,見,開,一,,寒,平,古寒
512,來,開,一,,寒,平,落干
513,溪,開,一,,寒,平,苦寒
514,曉,開,一,,寒,平,許干
515,泥,合,一,,寒,平,乃官
516,匣,合,一,,寒,平,胡官
517,疑,合,一,,寒,平,五丸
518,端,合,一,,寒,平,多官
519,影,合,一,,寒,平,一丸
520,透,合,一,,寒,平,他端
521,心,合,一,,寒,平,素官
522,定,合,一,,寒,平,度官
523,從,合,一,,寒,平,在丸
524,見,合,一,,寒,平,古丸
525,來,合,一,,寒,平,落官
526,曉,合,一,,寒,平,呼官
527,溪,合,一,,寒,平,苦官
528,精,合,一,,寒,平,借官
529,並,,一,,寒,平,薄官
530,明,,一,,寒,平,母官
531,滂,,一,,寒,平,普官
532,幫,,一,,寒,平,北潘
533,生,開,二,,刪,平,所姦
534,見,合,二,,刪,平,古還
535,影,合,二,,刪,平,烏關
536,生,合,二,,刪,平,數還
537,匣,合,二,,刪,平,戶關
538,幫,,二,,刪,平,布還
539,明,,二,,刪,平,莫還
540,疑,開,二,,刪,平,五姦
541,見,開,二,,刪,平,古顏
542,滂,,二,,刪,平,普班
543,孃,合,二,,刪,平,奴還
544,疑,合,二,,刪,平,五還
545,溪,開,二,,刪,平,丘姦
546,莊,合,二,,刪,平,阻頑
547,生,開,二,,山,平,所閒
548,見,合,二,,山,平,古頑
549,見,開,二,,山,平,古閑
550,匣,開,二,,山,平,戶閒
551,溪,開,二,,山,平,苦閑
552,崇,開,二,,山,平,士山
553,曉,開,二,,山,平,許閒
554,疑,開,二,,山,平,五閑
555,影,開,二,,山,平,烏閑
556,幫,,二,,山,平,方閑
557,來,開,二,,山,平,力閑
558,孃,開,二,,山,平,女閑
559,昌,開,三,,山,平,充山
560,影,合,二,,山,平,委鰥
561,澄,合,二,,山,平,墜頑
562,來,合,二,,山,平,力頑
563,羣,合,二,,山,平,跪頑
564,知,開,二,,山,平,陟山
565,澄,開,二,,山,平,直閑
566,匣,合,二,,山,平,獲頑
567,心,開,四,,先,平,蘇前
568,從,開,四,,先,平,昨先
569,清,開,四,,先,平,蒼先
570,精,開,四,,先,平,則前
571,透,開,四,,先,平,他前
572,見,開,四,,先,平,古賢
573,匣,開,四,,先,平,胡田
574,影,開,四,,先,平,烏前
575,來,開,四,,先,平,落賢
576,定,開,四,,先,平,徒年
577,泥,開,四,,先,平,奴顛
578,端,開,四,,先,平,都年
579,溪,開,四,,先,平,苦堅
580,疑,開,四,,先,平,五堅
581,明,,四,,先,平,莫賢
582,並,,四,,先,平,部田
583,影,合,四,,先,平,烏玄
584,見,合,四,,先,平,古玄
585,曉,合,四,,先,平,火玄
586,幫,,四,,先,平,布玄
587,匣,合,四,,先,平,胡涓
588,曉,開,四,,先,平,呼煙
589,崇,合,四,,先,平,崇玄
590,心,開,三,,仙,平,相然
591,從,開,三,,仙,平,昨仙
592,清,開,三,,仙,平,七然
593,精,開,三,,仙,平,子仙
594,日,開,三,,仙,平,如延
595,以,開,三,A,仙,平,以然
596,章,開,三,,仙,平,諸延
597,見,開,三,A,仙,平,居延
598,知,開,三,,仙,平,張連
599,崇,開,三,,仙,平,士連
600,書,開,三,,仙,平,式連
601,徹,開,三,,仙,平,丑延
602,常,開,三,,仙,平,市連
603,澄,開,三,,仙,平,直連
604,曉,開,三,B,仙,平,許延
605,來,開,三,,仙,平,力延
606,滂,,三,A,仙,平,芳連
607,並,,三,A,仙,平,房連
608,明,,三,A,仙,平,武延
609,從,合,三,,仙,平,疾緣
610,心,合,三,,仙,平,須緣
611,精,合,三,,仙,平,子泉
612,曉,合,三,A,仙,平,許緣
613,日,合,三,,仙,平,而緣
