小韻號,最簡描述,字頭,反切,切韻拼音
340,見開皆平,皆,古諧,keej
341,影開皆平,𢰇,乙諧,qeej
342,匣開皆平,諧,戶皆,gheej
343,並皆平,排,步皆,beej
344,見合皆平,乖,古懷,kweej
345,匣合皆平,懷,戶乖,ghweej
346,溪合皆平,匯,苦淮,khweej
347,崇開皆平,豺,士皆,dzreej
348,初開皆平,差,楚皆,tsrheej
349,曉合皆平,虺,呼懷,hweej
350,澄合皆平,尵,杜懷,drweej
351,明皆平,埋,莫皆,meej
352,莊開皆平,齋,側皆,tsreej
353,影合皆平,崴,乙乖,qweej
354,知開皆平,𪘨,卓皆,treej
355,來咍平,唻,賴諧,leoj
356,溪開皆平,揩,口皆,kheej
357,孃開皆平,搱,諾皆,nreej
358,生開皆平,崽,山皆,sreej
359,疑開皆平,𩂢,擬皆,ngeej
360,徹開皆平,搋,丑皆,trheej
361,曉開皆平,俙,喜皆,heej
362,來合皆平,䐯,力懷,lweej
363,崇合皆平,膗,仕懷,dzrweej
364,曉灰平,灰,呼恢,hoj
365,溪灰平,恢,苦回,khoj
366,影灰平,隈,烏恢,qoj
367,匣灰平,回,戶恢,ghoj
368,明灰平,枚,莫杯,moj
369,見灰平,傀,公回,koj
370,來灰平,雷,魯回,loj
371,定灰平,穨,杜回,doj
372,清灰平,崔,倉回,tshoj
373,端灰平,磓,都回,toj
374,心灰平,𤗯,素回,soj
375,從灰平,摧,昨回,dzoj
376,並灰平,裴,薄回,boj
377,幫灰平,桮,布回,poj
378,滂灰平,肧,芳杯,phoj
379,疑灰平,鮠,五灰,ngoj
380,透灰平,𨌴,他回,thoj
381,泥灰平,𢆃,乃回,noj
382,精灰平,嗺,臧回,tsoj
383,曉咍平,咍,呼來,heoj
384,溪咍平,開,苦哀,kheoj
385,影咍平,哀,烏開,qeoj
386,定咍平,臺,徒哀,deoj
387,見咍平,該,古哀,keoj
388,從咍平,裁,昨哉,dzeoj
389,來咍平,來,落哀,leoj
390,精咍平,烖,祖才,tseoj
391,清咍平,猜,倉才,tsheoj
392,並灰平,𤗏,扶來,boj
393,透咍平,胎,土來,theoj
394,匣咍平,孩,戶來,gheoj
395,心咍平,鰓,蘇來,seoj
396,疑咍平,皚,五來,ngeoj
397,泥咍平,能,奴來,neoj
398,端咍平,𪒴,丁來,teoj
399,昌尤平,㹗,昌求,tjhu
400,滂灰平,𡜊,普才,phoj
401,章開眞平,真,職鄰,tjin
402,徹開眞平,𤣆,丑人,trhin
403,影開A眞平,因,於真,qin
404,心開眞平,新,息鄰,sin
405,常開眞平,辰,植鄰,djin
406,日開眞平,仁,如鄰,njin
407,船開眞平,神,食鄰,zjin
408,清開眞平,親,七人,tshin
409,匣開A眞平,礥,下珍,ghin
410,書開眞平,申,失人,sjin
411,幫A眞平,賓,必鄰,pin
412,來開眞平,㷠,力珍,lin
413,羣開B眞平,𥎊,巨巾,gyin
414,知開眞平,珍,陟鄰,trin
