字頭,轉號,上位,右位
䫡,40,6,10
醶,40,6,14
㨻,40,6,16
黤,40,6,18
㺖,40,6,19
檻,40,6,20
儼,40,7,12
㴸,40,7,16
埯,40,7,18
憸,40,8,14
漸,40,8,15
黶,40,8,18
琰,40,8,21
擔,40,9,5
賧,40,9,6
擔,40,9,7
𪉦,40,9,9
闞,40,9,10
暫,40,9,15
三,40,9,16
𧵊,40,9,19
憨,40,9,20
濫,40,9,22
埿,40,10,3
鑑,40,10,9
覱,40,10,13
懺,40,10,14
鑱,40,10,15
釤,40,10,16
𪒠,40,10,18
㒈,40,10,19
㽉,40,10,20
㪁,40,11,10
釅,40,11,12
䝱,40,11,19
獫,40,11,22
驗,40,12,12
𡄑,40,12,13
壍,40,12,14
潛,40,12,15
厭,40,12,18
豔,40,12,21
殮,40,12,22
染,40,12,23
㿴,40,13,5
榻,40,13,6
踏,40,13,7
魶,40,13,8
䫦,40,13,9
榼,40,13,10
儑,40,13,12
囃,40,13,14
䪞,40,13,15
𠎷,40,13,16
鰪,40,13,18
𣣹,40,13,19
盍,40,13,20
臘,40,13,22
渫,40,14,7
甲,40,14,9
翣,40,14,16
鴨,40,14,18
呷,40,14,19
狎,40,14,20
㙷,40,15,7
劫,40,15,9
怯,40,15,10
跲,40,15,11
業,40,15,12
䢡,40,15,16
腌,40,15,18
脅,40,15,19
殜,40,15,21
接,40,16,13
妾,40,16,14
捷,40,16,15
魘,40,16,18
挾,40,16,20
葉,40,16,21
𧦟,41,3,1
䒦,41,3,2
凡,41,3,3
𦜒,41,7,1
釩,41,7,2
范,41,7,3
錽,41,7,4
𠑆,41,7,6
拑,41,7,9
凵,41,7,10
顩,41,7,12
汎,41,11,2
梵,41,11,3
𦲯,41,11,4
劒,41,11,9
欠,41,11,10
法,41,15,1
𥎰,41,15,2
乏,41,15,3
𦑣,41,15,5
䎎,41,15,8
猲,41,15,10
崩,42,1,1
漰,42,1,2
朋,42,1,3
瞢,42,1,4
登,42,1,5
鼟,42,1,6
騰,42,1,7
能,42,1,8
緪,42,1,9
增,42,1,13
層,42,1,15
僧,42,1,16
恆,42,1,20
楞,42,1,22
冰,42,3,1
砯,42,3,2
凭,42,3,3
徵,42,3,5
僜,42,3,6
澄,42,3,7
兢,42,3,9
硱,42,3,10
殑,42,3,11
凝,42,3,12
蒸,42,3,13
稱,42,3,14
繩,42,3,15
升,42,3,16
承,42,3,17
膺,42,3,18
興,42,3,19
蠅,42,3,21
陵,42,3,22
仍,42,3,23
繒,42,4,15
倗,42,5,2
𨹹,42,5,3
等,42,5,5
能,42,5,8
肯,42,5,10
㽪,42,5,13
倰,42,5,22
庱,42,7,6
殑,42,7,11
拯,42,7,13
㱡,42,7,16
𥦜,42,9,1
倗,42,9,3
𢅴,42,9,4
嶝,42,9,5
𤃶,42,9,6
鄧,42,9,7
亙,42,9,9
增,42,9,13
蹭,42,9,14
贈,42,9,15
𡬙,42,9,16
凭,42,11,3
覴,42,11,6
瞪,42,11,7
殑,42,11,11
凝,42,11,12
證,42,11,13
稱,42,11,14
乘,42,11,15
勝,42,11,16
剩,42,11,17
應,42,11,18
興,42,11,19
孕,42,11,21
𩜁,42,11,22
認,42,11,23
甑,42,12,13
㣒,42,12,14
北,42,13,1
菔,42,13,3
墨,42,13,4
德,42,13,5
忒,42,13,6
特,42,13,7
䘅,42,13,8
裓,42,13,9
刻,42,13,10
則,42,13,13
墄,42,13,14
賊,42,13,15
塞,42,13,16
餩,42,13,18
黑,42,13,19
劾,42,13,20
勒,42,13,22
稄,42,14,13
測,42,14,14
崱,42,14,15
色,42,14,16
逼,42,15,1
堛,42,15,2
愎,42,15,3
䁇,42,15,4
陟,42,15,5
敕,42,15,6
直,42,15,7
匿,42,15,8
殛,42,15,9
䩯,42,15,10
極,42,15,11
嶷,42,15,12
職,42,15,13
瀷,42,15,14
食,42,15,15
識,42,15,16
寔,42,15,17
憶,42,15,18
赩,42,15,19
力,42,15,22
𡮞,42,16,5
即,42,16,13
堲,42,16,15
息,42,16,16
弋,42,16,21
肱,43,1,9
泓,43,1,18
薨,43,1,19
弘,43,1,20
國,43,13,9
或,43,13,20
洫,43,15,19
域,43,15,21
