小韻號	首字	反切	編碼	切韻拼音	unt切韻擬音J	unt切韻擬音L	unt切韻通俗擬音	潘悟雲擬音	描述	聲母	開合	等和重紐	韻母	聲調	合法性	備註
2082	黤	於檻	h7B	qaemq	ʔáˤm	ʡáˤm	ʔǽm	ʔɣæm˧˥	影開二銜上	影	開	二	銜	上	強合法	
2083	醶	初檻	T7B	tsrhaemq	tʂʰáˤm	tʂʰáˤm	tʂʰǽm	tʂʰɣæm˧˥	初開二銜上	初	開	二	銜	上	強合法	
2084	㺖	荒檻	i7B	haemq	χáˤm	χáˤm	xǽm	hɣæm˧˥	曉開二銜上	曉	開	二	銜	上	強合法	
2085	巉	仕檻	U7B	dzraemq	dʐáˤm	dʐáˤm	dʐǽm	dʐɣæm˧˥	崇開二銜上	崇	開	二	銜	上	強合法	
2086	范	防錽	C9B	buomq	bʋə́m	bə́m	bʉə́m	bɨam˧˥	並三凡上	並		三	凡	上	強合法	
2087	錽	亡范	D9B	muomq	mʋə́m	mə́m	mʉə́m	mɨam˧˥	明三凡上	明		三	凡	上	強合法	
2088	𦜒	府犯	A9B	puomq	pʋə́m	pə́m	pʉə́m	pɨam˧˥	幫三凡上	幫		三	凡	上	強合法	
2089	凵	丘犯	e8B	khyomq	kʰɣə́m	kʰə́m	kʰɨə́m	kʰɨam˧˥	溪開三凡→嚴上	溪	開	三	凡→嚴	上	強合法	
2090	釩	峯犯	B9B	phuomq	pʰʋə́m	pʰə́m	pʰʉə́m	pʰɨam˧˥	滂三凡上	滂		三	凡	上	強合法	
2091	𠑆	丑犯	K8B	trhyomq	ʈʰém	ʈʰém	ʈʰɨə́m	ʈʰɨam˧˥	徹開三嚴上	徹	開	三	嚴	上	強合法	
2092	送	蘇弄	QAC	soungh	sùɴ	sùɴ	sùŋ	suŋ˥˩	心一東去	心		一	東	去	強合法	
2093	鳳	馮貢	CBC	bungh	bʋùɴ	bùɴ	bɨùŋ	bɨuŋ˥˩	並三東去	並		三	東	去	強合法	
2094	貢	古送	dAC	koungh	qùɴ	qùɴ	kùŋ	kuŋ˥˩	見一東去	見		一	東	去	強合法	
2095	弄	盧貢	IAC	loungh	ɫùɴ	ɫùɴ	lùŋ	luŋ˥˩	來一東去	來		一	東	去	強合法	
2096	涷	多貢	EAC	toungh	tùɴ	tùɴ	tùŋ	tuŋ˥˩	端一東去	端		一	東	去	強合法	
2097	控	苦貢	eAC	khoungh	qʰùɴ	qʰùɴ	kʰùŋ	kʰuŋ˥˩	溪一東去	溪		一	東	去	強合法	
2098	糉	作弄	NAC	tsoungh	tsùɴ	tsùɴ	tsùŋ	tsuŋ˥˩	精一東去	精		一	東	去	強合法	
2099	瓮	烏貢	hAC	qoungh	ʔùɴ	ʡùɴ	ʔùŋ	ʔuŋ˥˩	影一東去	影		一	東	去	強合法	
2100	謥	千弄	OAC	tshoungh	tsʰùɴ	tsʰùɴ	tsʰùŋ	tsʰuŋ˥˩	清一東去	清		一	東	去	強合法	
2101	洞	徒弄	GAC	doungh	dùɴ	dùɴ	dùŋ	duŋ˥˩	定一東去	定		一	東	去	強合法	
2102	痛	他貢	FAC	thoungh	tʰùɴ	tʰùɴ	tʰùŋ	tʰuŋ˥˩	透一東去	透		一	東	去	強合法	
2103	仲	直眾	LBC	drungh	ɖùɴ	ɖùɴ	ɖɨùŋ	ɖɨuŋ˥˩	澄三東去	澄		三	東	去	強合法	
2104	諷	方鳳	ABC	pungh	pʋùɴ	pùɴ	pɨùŋ	pɨuŋ˥˩	幫三東去	幫		三	東	去	強合法	
2105	焪	去仲	eBC	khungh	kʰɣùɴ	kʰùɴ	kʰɨùŋ	kʰɨuŋ˥˩	溪三東去	溪		三	東	去	強合法	
2106	㝱	莫鳳	DBC	mungh	mʋùɴ	mùɴ	mɨùŋ	mɨuŋ˥˩	明三東去	明		三	東	去	強合法	
2107	𧽒	香仲	iBC	hungh	xɣùɴ	xùɴ	xɨùŋ	hɨuŋ˥˩	曉三東去	曉		三	東	去	強合法	
2108	𢄐	莫弄	DAC	moungh	mùɴ	ᵯùɴ	mùŋ	muŋ˥˩	明一東去	明		一	東	去	強合法	
2109	趥	千仲	OBC	tshungh	tsʰjùɴ	tsʰjùɴ	tsʰɨùŋ	tsʰɨuŋ˥˩	清三東去	清		三	東	去	強合法	
2110	賵	撫鳳	BBC	phungh	pʰʋùɴ	pʰùɴ	pʰɨùŋ	pʰɨuŋ˥˩	滂三東去	滂		三	東	去	強合法	
2111	𣀒	徂送	PAC	dzoungh	dzùɴ	dzùɴ	dzùŋ	dzuŋ˥˩	從一東去	從		一	東	去	強合法	
2112	中	陟仲	JBC	trungh	ʈùɴ	ʈùɴ	ʈɨùŋ	ʈɨuŋ˥˩	知三東去	知		三	東	去	強合法	
2113	哄	胡貢	jAC	ghoungh	ʁùɴ	ʁùɴ	ɣùŋ	ɦuŋ˥˩	匣一東去	匣		一	東	去	強合法	
2114	齈	奴凍	HAC	noungh	nùɴ	nùɴ	nùŋ	nuŋ˥˩	泥一東去	泥		一	東	去	強合法	
2115	眾	之仲	XBC	tjungh	tɕùɴ	tɕùɴ	tɕɨùŋ	tɕɨuŋ˥˩	章三東去	章		三	東	去	強合法	
2116	銃	充仲	YBC	tjhungh	tɕʰùɴ	tɕʰùɴ	tɕʰɨùŋ	tɕʰɨuŋ˥˩	昌三東去	昌		三	東	去	強合法	
2117	㓽	仕仲	UBC	dzrungh	dʐùɴ	dʐùɴ	dʐɨùŋ	dʐɨuŋ˥˩	崇三東去	崇		三	東	去	強合法	
2118	烘	呼貢	iAC	houngh	χùɴ	χùɴ	xùŋ	huŋ˥˩	曉一東去	曉		一	東	去	強合法	
2119	宋	蘇統	QCC	songh	sòɴ	sòɴ	sòŋ	su̯oŋ˥˩	心一冬去	心		一	冬	去	強合法	
2120	綜	子宋	NCC	tsongh	tsòɴ	tsòɴ	tsòŋ	tsu̯oŋ˥˩	精一冬去	精		一	冬	去	強合法	
2121	統	他綜	FCC	thongh	tʰòɴ	tʰòɴ	tʰòŋ	tʰu̯oŋ˥˩	透一冬去	透		一	冬	去	強合法	
2122	雺	莫綜	DCC	mongh	mòɴ	ᵯòɴ	mòŋ	mu̯oŋ˥˩	明一冬去	明		一	冬	去	弱合法	
2123	䃔	乎宋	jCC	ghongh	ʁòɴ	ʁòɴ	ɣòŋ	ɦu̯oŋ˥˩	匣一冬去	匣		一	冬	去	弱合法	
2124	用	余頌	lDC	juongh	jòɴ	jòɴ	jʉòŋ	jɨu̯o̝ŋ˥˩	以三鍾去	以		三	鍾	去	強合法	
2125	頌	似用	RDC	zuongh	zjòɴ	zjòɴ	zʉòŋ	zɨu̯o̝ŋ˥˩	邪三鍾去	邪		三	鍾	去	強合法	
2126	俸	扶用	CDC	buongh	bʋòɴ	bòɴ	bʉòŋ	bɨu̯o̝ŋ˥˩	並三鍾去	並		三	鍾	去	強合法	
2127	共	渠用	fDC	guongh	ɡɣòɴ	ɡòɴ	ɡʉòŋ	ɡɨu̯o̝ŋ˥˩	羣三鍾去	羣		三	鍾	去	強合法	
2128	葑	方用	ADC	puongh	pʋòɴ	pòɴ	pʉòŋ	pɨu̯o̝ŋ˥˩	幫三鍾去	幫		三	鍾	去	強合法	
2129	供	居用	dDC	kuongh	kɣòɴ	kòɴ	kʉòŋ	kɨu̯o̝ŋ˥˩	見三鍾去	見		三	鍾	去	強合法	
2130	雍	於用	hDC	quongh	ʔɣòɴ	ʔòɴ	ʔʉòŋ	ʔɨu̯o̝ŋ˥˩	影三鍾去	影		三	鍾	去	強合法	
2131	湩	竹用	JDC	truongh	ʈòɴ	ʈòɴ	ʈʉòŋ	ʈɨu̯o̝ŋ˥˩	知三鍾去	知		三	鍾	去	強合法	
2132	縱	子用	NDC	tsuongh	tsjòɴ	tsjòɴ	tsʉòŋ	tsɨu̯o̝ŋ˥˩	精三鍾去	精		三	鍾	去	強合法	
2133	蹱	丑用	KDC	trhuongh	ʈʰòɴ	ʈʰòɴ	ʈʰʉòŋ	ʈʰɨu̯o̝ŋ˥˩	徹三鍾去	徹		三	鍾	去	強合法	
2134	䩸	而用	cDC	njuongh	ɲòɴ	ɲòɴ	ɲʉòŋ	ȵɨu̯o̝ŋ˥˩	日三鍾去	日		三	鍾	去	強合法	
2135	種	之用	XDC	tjuongh	tɕòɴ	tɕòɴ	tɕʉòŋ	tɕɨu̯o̝ŋ˥˩	章三鍾去	章		三	鍾	去	強合法	
2136	重	柱用	LDC	druongh	ɖòɴ	ɖòɴ	ɖʉòŋ	ɖɨu̯o̝ŋ˥˩	澄三鍾去	澄		三	鍾	去	強合法	
2137	贚	良用	IDC	luongh	lòɴ	lòɴ	lʉòŋ	lɨu̯o̝ŋ˥˩	來三鍾去	來		三	鍾	去	強合法	
2138	恐	區用	eDC	khuongh	kʰɣòɴ	kʰòɴ	kʰʉòŋ	kʰɨu̯o̝ŋ˥˩	溪三鍾去	溪		三	鍾	去	強合法	
2139	從	疾用	PDC	dzuongh	dzjòɴ	dzjòɴ	dzʉòŋ	dzɨu̯o̝ŋ˥˩	從三鍾去	從		三	鍾	去	強合法	
2140	𢫨	穠用	MDC	nruongh	ɳòɴ	ɳòɴ	ɳʉòŋ	ɳɨu̯o̝ŋ˥˩	孃三鍾去	孃		三	鍾	去	強合法	
2141	絳	古巷	dEC	koeungh	qòˤɴ	qòˤɴ	kɔ̀ŋ	kɣɔŋ˥˩	見二江去	見		二	江	去	強合法	
2142	巷	胡絳	jEC	ghoeungh	ʁòˤɴ	ʁòˤɴ	ɣɔ̀ŋ	ɦɣɔŋ˥˩	匣二江去	匣		二	江	去	強合法	
2143	戇	陟降	JEC	troeungh	ʈòˤɴ	ʈòˤɴ	ʈɔ̀ŋ	ʈɣɔŋ˥˩	知二江去	知		二	江	去	強合法	
2144	䡴	直絳	LEC	droeungh	ɖòˤɴ	ɖòˤɴ	ɖɔ̀ŋ	ɖɣɔŋ˥˩	澄二江去	澄		二	江	去	強合法	
2145	𥈄	丑絳	KEC	trhoeungh	ʈʰòˤɴ	ʈʰòˤɴ	ʈʰɔ̀ŋ	ʈʰɣɔŋ˥˩	徹二江去	徹		二	江	去	強合法	
2146	漴	士絳	UEC	dzroeungh	dʐòˤɴ	dʐòˤɴ	dʐɔ̀ŋ	dʐɣɔŋ˥˩	崇二江去	崇		二	江	去	強合法	
2147	肨	匹絳	BEC	phoeungh	pʰòˤɴ	ᵱʰòˤɴ	pʰɔ̀ŋ	pʰɣɔŋ˥˩	滂二江去	滂		二	江	去	強合法	
2148	䎫	楚絳	TEC	tsrhoeungh	tʂʰòˤɴ	tʂʰòˤɴ	tʂʰɔ̀ŋ	tʂʰɣɔŋ˥˩	初二江去	初		二	江	去	強合法	
2149	淙	色絳	VEC	sroeungh	ʂòˤɴ	ʂòˤɴ	ʂɔ̀ŋ	ʂɣɔŋ˥˩	生二江去	生		二	江	去	強合法	
2150	寘	支義	XFC	tjieh	tɕìe	tɕìe	tɕiè	tɕiᴇ˥˩	章開三支去	章	開	三	支	去	強合法	
2151	避	毗義	CFC	bieh	bìe	bìe	biè	biᴇ˥˩	並三A支去	並		三A	支	去	強合法	
2152	惴	之睡	XFK	tjwieh	tɕwìe	tɕwìe	tɕyè	tɕʷiᴇ˥˩	章合三支去	章	合	三	支	去	強合法	
2153	詈	力智	IFC	lieh	lìe	lìe	liè	liᴇ˥˩	來開三支去	來	開	三	支	去	強合法	
2154	豉	是義	ZFC	djieh	dʑìe	dʑìe	dʑiè	dʑiᴇ˥˩	常開三支去	常	開	三	支	去	強合法	
2155	積	子智	NFC	tsieh	tsìe	tsìe	tsiè	tsiᴇ˥˩	精開三支去	精	開	三	支	去	強合法	
2156	賜	斯義	QFC	sieh	sìe	sìe	siè	siᴇ˥˩	心開三支去	心	開	三	支	去	強合法	
2157	爲	于僞	kFK	ueh	wɹìe	wɹìe	ʉè	ɦʷiᴇ˥˩	云合三B支去	云	合	三B	支	去	強合法	
2158	䞈	詭僞	dFO	kueh	kɹwìe	kɹwìe	kʉè	kʷɣiᴇ˥˩	見合三B支去	見	合	三B	支	去	強合法	
2159	帔	披義	BFG	phyeh	pʰɹìe	pʰɹìe	pʰɨè	pʰɣiᴇ˥˩	滂三B支去	滂		三B	支	去	強合法	
2160	賁	彼義	AFG	pyeh	pɹìe	pɹìe	pɨè	pɣiᴇ˥˩	幫三B支去	幫		三B	支	去	強合法	
2161	髲	平義	CFG	byeh	bɹìe	bɹìe	bɨè	bɣiᴇ˥˩	並三B支去	並		三B	支	去	強合法	
2162	累	良僞	IFK	lwieh	lwìe	lwìe	lyè	lʷiᴇ˥˩	來合三支去	來	合	三	支	去	強合法	
2163	寄	居義	dFG	kyeh	kɹìe	kɹìe	kɨè	kɣiᴇ˥˩	見開三B支去	見	開	三B	支	去	強合法	
2164	臂	卑義	AFC	pieh	pìe	pìe	piè	piᴇ˥˩	幫三A支去	幫		三A	支	去	強合法	
2165	芰	奇寄	fFG	gyeh	ɡɹìe	ɡɹìe	ɡɨè	ɡɣiᴇ˥˩	羣開三B支去	羣	開	三B	支	去	強合法	
2166	刺	七賜	OFC	tshieh	tsʰìe	tsʰìe	tsʰiè	tsʰiᴇ˥˩	清開三支去	清	開	三	支	去	強合法	
2167	易	以豉	lFC	jieh	jìe	jìe	jiè	jiᴇ˥˩	以開三支去	以	開	三	支	去	強合法	
2168	議	宜寄	gFG	ngyeh	ŋɹìe	ŋɹìe	ŋɨè	ŋɣiᴇ˥˩	疑開三B支去	疑	開	三B	支	去	強合法	
2169	譬	匹賜	BFC	phieh	pʰìe	pʰìe	pʰiè	pʰiᴇ˥˩	滂三A支去	滂		三A	支	去	強合法	
2170	漬	疾智	PFC	dzieh	dzìe	dzìe	dziè	dziᴇ˥˩	從開三支去	從	開	三	支	去	強合法	
2171	智	知義	JFC	trieh	ʈìe	ʈìe	ʈiè	ʈiᴇ˥˩	知開三支去	知	開	三	支	去	強合法	
2172	倚	於義	hFG	qyeh	ʔɹìe	ʔɹìe	ʔɨè	ʔɣiᴇ˥˩	影開三B支去	影	開	三B	支	去	強合法	
2173	縋	馳僞	LFK	drwieh	ɖwìe	ɖwìe	ɖyè	ɖʷiᴇ˥˩	澄合三支去	澄	合	三	支	去	強合法	
2174	吹	尺僞	YFK	tjhwieh	tɕʰwìe	tɕʰwìe	tɕʰyè	tɕʰʷiᴇ˥˩	昌合三支去	昌	合	三	支	去	強合法	
2175	戲	香義	iFG	hyeh	xɹìe	xɹìe	xɨè	hɣiᴇ˥˩	曉開三B支去	曉	開	三B	支	去	強合法	
2176	企	去智	eFC	khieh	kʰìe	kʰìe	kʰiè	kʰiᴇ˥˩	溪開三A支去	溪	開	三A	支	去	強合法	
2177	縊	於賜	hFC	qieh	ʔìe	ʔìe	ʔiè	ʔiᴇ˥˩	影開三A支去	影	開	三A	支	去	強合法	
2178	翅	施智	aFC	sjieh	ɕìe	ɕìe	ɕiè	ɕiᴇ˥˩	書開三支去	書	開	三	支	去	強合法	
2179	屣	所寄	VFC	sryeh	ʂìe	ʂìe	ʂɨè	ʂiᴇ˥˩	生開三支去	生	開	三	支	去	強合法	
2180	觖	窺瑞	eFK	khwieh	kʰwìe	kʰwìe	kʰyè	kʰʷiᴇ˥˩	溪合三A支去	溪	合	三A	支	去	強合法	
2181	餧	於僞	hFO	queh	ʔɹwìe	ʔɹwìe	ʔʉè	ʔʷɣiᴇ˥˩	影合三B支去	影	合	三B	支	去	強合法	
2182	僞	危睡	gFO	ngueh	ŋɹwìe	ŋɹwìe	ŋʉè	ŋʷɣiᴇ˥˩	疑合三B支去	疑	合	三B	支	去	強合法	
2183	毀	況僞	iFO	hueh	xɹwìe	xɹwìe	xʉè	hʷɣiᴇ˥˩	曉合三B支去	曉	合	三B	支	去	強合法	
2184	恚	於避	hFK	qwieh	ʔwìe	ʔwìe	ʔyè	ʔʷiᴇ˥˩	影合三A支去	影	合	三A	支	去	強合法	
2185	睡	是僞	ZFK	djwieh	dʑwìe	dʑwìe	dʑyè	dʑʷiᴇ˥˩	常合三支去	常	合	三	支	去	強合法	
2186	馶	居企	dFC	kieh	kìe	kìe	kiè	kiᴇ˥˩	見開三A支去	見	開	三A	支	去	強合法	
2187	䄲	而瑞	cFK	njwieh	ɲwìe	ɲwìe	ɲyè	ȵʷiᴇ˥˩	日合三支去	日	合	三	支	去	強合法	
2188	卶	充豉	YFC	tjhieh	tɕʰìe	tɕʰìe	tɕʰiè	tɕʰiᴇ˥˩	昌開三支去	昌	開	三	支	去	強合法	
2189	䅗	思累	QFK	swieh	swìe	swìe	syè	sʷiᴇ˥˩	心合三支去	心	合	三	支	去	強合法	
2190	娷	竹恚	JFK	trwieh	ʈwìe	ʈwìe	ʈyè	ʈʷiᴇ˥˩	知合三支去	知	合	三	支	去	強合法	
2191	瓗	以睡	lFK	jwieh	jwìe	jwìe	jyè	jʷiᴇ˥˩	以合三支去	以	合	三	支	去	強合法	
2192	諉	女恚	MFK	nrwieh	ɳwìe	ɳwìe	ɳyè	ɳʷiᴇ˥˩	孃合三支去	孃	合	三	支	去	強合法	
2193	瞡	規恚	dFK	kwieh	kwìe	kwìe	kyè	kʷiᴇ˥˩	見合三A支去	見	合	三A	支	去	強合法	
2194	𧙁	爭義	SFC	tsryeh	tʂìe	tʂìe	tʂɨè	tʂiᴇ˥˩	莊開三支去	莊	開	三	支	去	強合法	
2195	孈	呼恚	iFK	hwieh	xwìe	xwìe	xyè	hʷiᴇ˥˩	曉合三A支去	曉	合	三A	支	去	強合法	
2196	㞆	卿義	eFG	khyeh	kʰɹìe	kʰɹìe	kʰɨè	kʰɣiᴇ˥˩	溪開三B支去	溪	開	三B	支	去	強合法	
2197	至	脂利	XGC	tjih	tɕì	tɕì	tɕì	tɕi˥˩	章開三脂去	章	開	三	脂	去	強合法	
2198	位	于愧	kGK	uih	wɹì	wɹì	ʉì	ɦʷi˥˩	云合三B脂去	云	合	三B	脂	去	強合法	
2199	郿	明祕	DGG	myih	mɹì	mɹì	mɨì	mɣi˥˩	明三B脂去	明		三B	脂	去	強合法	
2200	遂	徐醉	RGK	zwih	zwì	zwì	zyì	zʷi˥˩	邪合三脂去	邪	合	三	脂	去	強合法	
2201	醉	將遂	NGK	tswih	tswì	tswì	tsyì	tsʷi˥˩	精合三脂去	精	合	三	脂	去	強合法	
2202	邃	雖遂	QGK	swih	swì	swì	syì	sʷi˥˩	心合三脂去	心	合	三	脂	去	強合法	
2203	類	力遂	IGK	lwih	lwì	lwì	lyì	lʷi˥˩	來合三脂去	來	合	三	脂	去	強合法	
2204	祕	兵媚	AGG	pyih	pɹì	pɹì	pɨì	pɣi˥˩	幫三B脂去	幫		三B	脂	去	強合法	
2205	匱	求位	fGO	guih	ɡɹwì	ɡɹwì	ɡʉì	ɡʷɣi˥˩	羣合三B脂去	羣	合	三B	脂	去	強合法	
2206	濞	匹備	BGG	phyih	pʰɹì	pʰɹì	pʰɨì	pʰɣi˥˩	滂三B脂去	滂		三B	脂	去	強合法	
2207	備	平祕	CGG	byih	bɹì	bɹì	bɨì	bɣi˥˩	並三B脂去	並		三B	脂	去	強合法	
2208	媿	俱位	dGO	kuih	kɹwì	kɹwì	kʉì	kʷɣi˥˩	見合三B脂去	見	合	三B	脂	去	強合法	
2209	帥	所類	VGK	sruih	ʂwì	ʂwì	ʂʉì	ʂʷi˥˩	生合三脂去	生	合	三	脂	去	強合法	
2210	喟	丘愧	eGO	khuih	kʰɹwì	kʰɹwì	kʰʉì	kʰʷɣi˥˩	溪合三B脂去	溪	合	三B	脂	去	強合法	
2211	豷	許位	iGO	huih	xɹwì	xɹwì	xʉì	hʷɣi˥˩	曉合三B脂去	曉	合	三B	脂	去	強合法	
2212	嗜	常利	ZGC	djih	dʑì	dʑì	dʑì	dʑi˥˩	常開三脂去	常	開	三	脂	去	強合法	
2213	利	力至	IGC	lih	lì	lì	lì	li˥˩	來開三脂去	來	開	三	脂	去	強合法	
2214	膩	女利	MGC	nrih	ɳì	ɳì	ɳì	ɳi˥˩	孃開三脂去	孃	開	三	脂	去	強合法	
2215	屁	匹寐	BGC	phih	pʰì	pʰì	pʰì	pʰi˥˩	滂三A脂去	滂		三A	脂	去	強合法	
2216	劓	魚器	gGG	ngyih	ŋɹì	ŋɹì	ŋɨì	ŋɣi˥˩	疑開三B脂去	疑	開	三B	脂	去	強合法	
2217	致	陟利	JGC	trih	ʈì	ʈì	ʈì	ʈi˥˩	知開三脂去	知	開	三	脂	去	強合法	
2218	棄	詰利	eGC	khih	kʰì	kʰì	kʰì	kʰi˥˩	溪開三A脂去	溪	開	三A	脂	去	稀有合法	
2219	緻	直利	LGC	drih	ɖì	ɖì	ɖì	ɖi˥˩	澄開三脂去	澄	開	三	脂	去	強合法	
2220	寐	彌二	DGC	mih	mì	mì	mì	mi˥˩	明三A脂去	明		三A	脂	去	強合法	
2221	杘	丑利	KGC	trhih	ʈʰì	ʈʰì	ʈʰì	ʈʰi˥˩	徹開三脂去	徹	開	三	脂	去	強合法	
2222	冀	几利	dGG	kyih	kɹì	kɹì	kɨì	kɣi˥˩	見開三B脂去	見	開	三B	脂	去	強合法	
2223	臮	具冀	fGG	gyih	ɡɹì	ɡɹì	ɡɨì	ɡɣi˥˩	羣開三B脂去	羣	開	三B	脂	去	強合法	
2224	悸	其季	fGK	gwih	ɡwì	ɡwì	ɡyì	ɡʷi˥˩	羣合三A脂去	羣	合	三A	脂	去	強合法	
2225	翠	七醉	OGK	tshwih	tsʰwì	tsʰwì	tsʰyì	tsʰʷi˥˩	清合三脂去	清	合	三	脂	去	強合法	
2226	二	而至	cGC	njih	ɲì	ɲì	ɲì	ȵi˥˩	日開三脂去	日	開	三	脂	去	強合法	
2227	恣	資四	NGC	tsih	tsì	tsì	tsì	tsi˥˩	精開三脂去	精	開	三	脂	去	強合法	
2228	次	七四	OGC	tshih	tsʰì	tsʰì	tsʰì	tsʰi˥˩	清開三脂去	清	開	三	脂	去	強合法	
2229	懿	乙冀	hGG	qyih	ʔɹì	ʔɹì	ʔɨì	ʔɣi˥˩	影開三B脂去	影	開	三B	脂	去	強合法	
2230	四	息利	QGC	sih	sì	sì	sì	si˥˩	心開三脂去	心	開	三	脂	去	強合法	
2231	器	去冀	eGG	khyih	kʰɹì	kʰɹì	kʰɨì	kʰɣi˥˩	溪開三B脂去	溪	開	三B	脂	去	強合法	
2232	季	居悸	dGK	kwih	kwì	kwì	kyì	kʷi˥˩	見合三A脂去	見	合	三A	脂	去	強合法	
2233	鼻	毗至	CGC	bih	bì	bì	bì	bi˥˩	並三A脂去	並		三A	脂	去	強合法	
2234	䁤	香季	iGK	hwih	xwì	xwì	xyì	hʷi˥˩	曉合三A脂去	曉	合	三A	脂	去	強合法	
2235	痹	必至	AGC	pih	pì	pì	pì	pi˥˩	幫三A脂去	幫		三A	脂	去	強合法	
2236	萃	秦醉	PGK	dzwih	dzwì	dzwì	dzyì	dzʷi˥˩	從合三脂去	從	合	三	脂	去	強合法	
2237	地	徒四	GGC	dih	dì	dì	dì	di˥˩	定開四(?)脂去	定	開	四(?)	脂	去	無效	
2238	齂	虛器	iGG	hyih	xɹì	xɹì	xɨì	hɣi˥˩	曉開三B脂去	曉	開	三B	脂	去	強合法	
2239	肄	羊至	lGC	jih	jì	jì	jì	ji˥˩	以開三脂去	以	開	三	脂	去	強合法	
2240	示	神至	bGC	zjih	ʑì	ʑì	ʑì	ʑi˥˩	船開三脂去	船	開	三	脂	去	強合法	
2241	自	疾二	PGC	dzih	dzì	dzì	dzì	dzi˥˩	從開三脂去	從	開	三	脂	去	強合法	
2242	墜	直類	LGK	drwih	ɖwì	ɖwì	ɖyì	ɖʷi˥˩	澄合三脂去	澄	合	三	脂	去	強合法	
2243	出	尺類	YGK	tjhwih	tɕʰwì	tɕʰwì	tɕʰyì	tɕʰʷi˥˩	昌合三脂去	昌	合	三	脂	去	強合法	
2244	遺	以醉	lGK	jwih	jwì	jwì	jyì	jʷi˥˩	以合三脂去	以	合	三	脂	去	強合法	
2245	侐	火季	iGK	hwih	xwì	xwì	xyì	hʷi˥˩	曉合三A脂去	曉	合	三A	脂	去	強合法	
2246	轛	追萃	JGK	trwih	ʈwì	ʈwì	ʈyì	ʈʷi˥˩	知合三脂去	知	合	三	脂	去	強合法	
2247	痓	充自	YGC	tjhih	tɕʰì	tɕʰì	tɕʰì	tɕʰi˥˩	昌開三脂去	昌	開	三	脂	去	強合法	
2248	屍	矢利	aGC	sjih	ɕì	ɕì	ɕì	ɕi˥˩	書開三脂去	書	開	三	脂	去	強合法	
2249	㿷	楚愧	TGK	tsrhuih	tʂʰwì	tʂʰwì	tʂʰʉì	tʂʰʷi˥˩	初合三脂去	初	合	三	脂	去	稀有合法	
2250	㽷	釋類	aGK	sjwih	ɕwì	ɕwì	ɕyì	ɕʷi˥˩	書合三脂去	書	合	三	脂	去	強合法	
2251	志	職吏	XHC	tjyh	tɕɨ̀	tɕɨ̀	tɕɨ̀	tɕɨ˥˩	章開三之去	章	開	三	之	去	強合法	
2252	值	直吏	LHC	dryh	ɖɨ̀	ɖɨ̀	ɖɨ̀	ɖɨ˥˩	澄開三之去	澄	開	三	之	去	強合法	
2253	寺	祥吏	RHC	zyh	zjɨ̀	zjɨ̀	zɨ̀	zɨ˥˩	邪開三之去	邪	開	三	之	去	強合法	
2254	蛓	七吏	OHC	tshyh	tsʰjɨ̀	tsʰjɨ̀	tsʰɨ̀	tsʰɨ˥˩	清開三之去	清	開	三	之	去	強合法	
2255	笥	相吏	QHC	syh	sjɨ̀	sjɨ̀	sɨ̀	sɨ˥˩	心開三之去	心	開	三	之	去	強合法	
2256	試	式吏	aHC	sjyh	ɕɨ̀	ɕɨ̀	ɕɨ̀	ɕɨ˥˩	書開三之去	書	開	三	之	去	強合法	
2257	胾	側吏	SHC	tsryh	tʂɨ̀	tʂɨ̀	tʂɨ̀	tʂɨ˥˩	莊開三之去	莊	開	三	之	去	強合法	
2258	吏	力置	IHC	lyh	lɨ̀	lɨ̀	lɨ̀	lɨ˥˩	來開三之去	來	開	三	之	去	強合法	
2259	字	疾置	PHC	dzyh	dzjɨ̀	dzjɨ̀	dzɨ̀	dzɨ˥˩	從開三之去	從	開	三	之	去	強合法	
2260	眙	丑吏	KHC	trhyh	ʈʰɨ̀	ʈʰɨ̀	ʈʰɨ̀	ʈʰɨ˥˩	徹開三之去	徹	開	三	之	去	強合法	
2261	餌	仍吏	cHC	njyh	ɲɨ̀	ɲɨ̀	ɲɨ̀	ȵɨ˥˩	日開三之去	日	開	三	之	去	強合法	
2262	駛	疎吏	VHC	sryh	ʂɨ̀	ʂɨ̀	ʂɨ̀	ʂɨ˥˩	生開三之去	生	開	三	之	去	強合法	
2263	廁	初吏	THC	tsrhyh	tʂʰɨ̀	tʂʰɨ̀	tʂʰɨ̀	tʂʰɨ˥˩	初開三之去	初	開	三	之	去	強合法	
2264	異	羊吏	lHC	jyh	jɨ̀	jɨ̀	jɨ̀	jɨ˥˩	以開三之去	以	開	三	之	去	強合法	
2265	置	陟吏	JHC	tryh	ʈɨ̀	ʈɨ̀	ʈɨ̀	ʈɨ˥˩	知開三之去	知	開	三	之	去	強合法	
2266	侍	時吏	ZHC	djyh	dʑɨ̀	dʑɨ̀	dʑɨ̀	dʑɨ˥˩	常開三之去	常	開	三	之	去	強合法	
2267	事	鉏吏	UHC	dzryh	dʐɨ̀	dʐɨ̀	dʐɨ̀	dʐɨ˥˩	崇開三之去	崇	開	三	之	去	強合法	
2268	忌	渠記	fHC	gyh	ɡɨ̀	ɡɨ̀	ɡɨ̀	ɡɨ˥˩	羣開三之去	羣	開	三	之	去	強合法	
