小韻號	首字	反切	編碼	切韻拼音	unt切韻擬音J	unt切韻擬音L	unt切韻通俗擬音	潘悟雲擬音	描述	聲母	開合	等和重紐	韻母	聲調	合法性	備註
630	專	職緣	XfI	tjwien	tɕwen	tɕwen	tɕyen	tɕʷiᴇn˧	章合三仙平	章	合	三	仙	平	強合法	
631	遄	市緣	ZfI	djwien	dʑwen	dʑwen	dʑyen	dʑʷiᴇn˧	常合三仙平	常	合	三	仙	平	強合法	
632	員	王權	kfI	uen	wɹen	wɹen	ʉen	ɦʷiᴇn˧	云合三B仙平	云	合	三B	仙	平	強合法	
633	恮	莊緣	SfI	tsruen	tʂwen	tʂwen	tʂʉen	tʂʷiᴇn˧	莊合三仙平	莊	合	三	仙	平	強合法	
634	栓	山員	VfI	sruen	ʂwen	ʂwen	ʂʉen	ʂʷiᴇn˧	生合三仙平	生	合	三	仙	平	強合法	
635	猭	丑緣	KfI	trhwien	ʈʰwen	ʈʰwen	ʈʰyen	ʈʰʷiᴇn˧	徹合三仙平	徹	合	三	仙	平	強合法	
636	乾	渠焉	ffE	gyen	ɡɹen	ɡɹen	ɡɨen	ɡɣiᴇn˧	羣開三B仙平	羣	開	三B	仙	平	強合法	
637	愆	去乾	efE	khyen	kʰɹen	kʰɹen	kʰɨen	kʰɣiᴇn˧	溪開三B仙平	溪	開	三B	仙	平	強合法	
638	權	巨員	ffM	guen	ɡɹwen	ɡɹwen	ɡʉen	ɡʷɣiᴇn˧	羣合三B仙平	羣	合	三B	仙	平	強合法	
639	椽	直攣	LfI	drwien	ɖwen	ɖwen	ɖyen	ɖʷiᴇn˧	澄合三仙平	澄	合	三	仙	平	強合法	
640	攣	呂員	IfI	lwien	lwen	lwen	lyen	lʷiᴇn˧	來合三仙平	來	合	三	仙	平	強合法	
641	弮	丘圓	efM	khuen	kʰɹwen	kʰɹwen	kʰʉen	kʰʷɣiᴇn˧	溪合三B仙平	溪	合	三B	仙	平	強合法	
642	焉	於乾	hfE	qyen	ʔɹen	ʔɹen	ʔɨen	ʔɣiᴇn˧	影開三B仙平	影	開	三B	仙	平	強合法	
643	漹	有乾	kfA	yen	ɹen	ɹen	ɨen	ɦiᴇn˧	云開三B仙平	云	開	三B	仙	平	強非法	
644	𡣬	於權	hfM	quen	ʔɹwen	ʔɹwen	ʔʉen	ʔʷɣiᴇn˧	影合三B仙平	影	合	三B	仙	平	強合法	
645	燀	尺延	YfA	tjhien	tɕʰen	tɕʰen	tɕʰien	tɕʰiᴇn˧	昌開三仙平	昌	開	三	仙	平	強合法	
646	𡰝	丁兮			téj (ʁwej)	téj (ʁwej)	téj (ɣuej)	tei˧˥ (ɦʷei˧)							強合法	𡰖〈端開四齊平〉之音，𡰢〈匣合四齊平〉之訛字
647	勬	居員	dfM	kuen	kɹwen	kɹwen	kʉen	kʷɣiᴇn˧	見合三B仙平	見	合	三B	仙	平	強合法	
648	蕭	蘇彫	QhA	sew	sew	sew	sew	seu˧	心開四蕭平	心	開	四	蕭	平	強合法	
649	祧	吐彫	FhA	thew	tʰew	tʰew	tʰew	tʰeu˧	透開四蕭平	透	開	四	蕭	平	強合法	
650	貂	都聊	EhA	tew	tew	tew	tew	teu˧	端開四蕭平	端	開	四	蕭	平	強合法	
651	迢	徒聊	GhA	dew	dew	dew	dew	deu˧	定開四蕭平	定	開	四	蕭	平	強合法	
652	驍	古堯	dhA	kew	qew	qew	kew	keu˧	見開四蕭平	見	開	四	蕭	平	強合法	
653	聊	落蕭	IhA	lew	ɫew	ɫew	lew	leu˧	來開四蕭平	來	開	四	蕭	平	強合法	
654	堯	五聊	ghA	ngew	ɴew	ɴew	ŋew	ŋeu˧	疑開四蕭平	疑	開	四	蕭	平	強合法	
655	膮	許幺	ihA	hew	χew	χew	xew	heu˧	曉開四蕭平	曉	開	四	蕭	平	強合法	
656	幺	於堯	hhA	qew	ʔew	ʡew	ʔew	ʔeu˧	影開四蕭平	影	開	四	蕭	平	強合法	
657	鄡	苦幺	ehA	khew	qʰew	qʰew	kʰew	kʰeu˧	溪開四蕭平	溪	開	四	蕭	平	強合法	
658	宵	相邀	QiA	siew	sjew	sjew	siew	siᴇu˧	心開三宵平	心	開	三	宵	平	強合法	
659	超	敕宵	KiA	trhiew	ʈʰew	ʈʰew	ʈʰiew	ʈʰiᴇu˧	徹開三宵平	徹	開	三	宵	平	強合法	
660	朝	陟遙	JiA	triew	ʈew	ʈew	ʈiew	ʈiᴇu˧	知開三宵平	知	開	三	宵	平	強合法	
661	鼂	直遙	LiA	driew	ɖew	ɖew	ɖiew	ɖiᴇu˧	澄開三宵平	澄	開	三	宵	平	強合法	
662	囂	許嬌	iiE	hyew	xɹew	xɹew	xɨew	hɣiᴇu˧	曉開三B宵平	曉	開	三B	宵	平	強合法	
663	樵	昨焦	PiA	dziew	dzjew	dzjew	dziew	dziᴇu˧	從開三宵平	從	開	三	宵	平	強合法	
664	驕	舉喬	diE	kyew	kɹew	kɹew	kɨew	kɣiᴇu˧	見開三B宵平	見	開	三B	宵	平	強合法	
665	焦	即消	NiA	tsiew	tsjew	tsjew	tsiew	tsiᴇu˧	精開三宵平	精	開	三	宵	平	強合法	
666	饒	如招	ciA	njiew	ɲew	ɲew	ɲiew	ȵiᴇu˧	日開三宵平	日	開	三	宵	平	強合法	
667	燒	式招	aiA	sjiew	ɕew	ɕew	ɕiew	ɕiᴇu˧	書開三宵平	書	開	三	宵	平	強合法	
668	遙	餘昭	liA	jiew	jew	jew	jiew	jiᴇu˧	以開三宵平	以	開	三	宵	平	強合法	
669	韶	市昭	ZiA	djiew	dʑew	dʑew	dʑiew	dʑiᴇu˧	常開三宵平	常	開	三	宵	平	強合法	
670	昭	止遙	XiA	tjiew	tɕew	tɕew	tɕiew	tɕiᴇu˧	章開三宵平	章	開	三	宵	平	強合法	
671	飆	甫遙	AiA	piew	pjew	pjew	piew	piᴇu˧	幫三A宵平	幫		三A	宵	平	強合法	
672	鑣	甫嬌	AiE	pyew	pɹew	pɹew	pɨew	pɣiᴇu˧	幫三B宵平	幫		三B	宵	平	強合法	
673	瓢	符霄	CiA	biew	bjew	bjew	biew	biᴇu˧	並三A宵平	並		三A	宵	平	強合法	
674	蜱	彌遙	DiA	miew	mjew	mjew	miew	miᴇu˧	明三A宵平	明		三A	宵	平	強合法	
675	苗	武瀌	DiE	myew	mɹew	mɹew	mɨew	mɣiᴇu˧	明三B宵平	明		三B	宵	平	強合法	
676	要	於霄	hiA	qiew	ʔjew	ʔjew	ʔiew	ʔiᴇu˧	影開三A宵平	影	開	三A	宵	平	強合法	
677	鴞	于嬌	kiA	yew	ɹew	ɹew	ɨew	ɦiᴇu˧	云開三B宵平	云	開	三B	宵	平	強合法	
678	喬	巨嬌	fiE	gyew	ɡɹew	ɡɹew	ɡɨew	ɡɣiᴇu˧	羣開三B宵平	羣	開	三B	宵	平	強合法	
679	鍫	七遙	OiA	tshiew	tsʰjew	tsʰjew	tsʰiew	tsʰiᴇu˧	清開三宵平	清	開	三	宵	平	強合法	
680	妖	於喬	hiE	qyew	ʔɹew	ʔɹew	ʔɨew	ʔɣiᴇu˧	影開三B宵平	影	開	三B	宵	平	強合法	
681	蹻	去遙	eiA	khiew	kʰjew	kʰjew	kʰiew	kʰiᴇu˧	溪開三A宵平	溪	開	三A	宵	平	稀有合法	
682	怊	尺招	YiA	tjhiew	tɕʰew	tɕʰew	tɕʰiew	tɕʰiᴇu˧	昌開三宵平	昌	開	三	宵	平	強合法	
683	𤐫	撫招	BiA	phiew	pʰjew	pʰjew	pʰiew	pʰiᴇu˧	滂三A宵平	滂		三A	宵	平	強合法	
684	翹	渠遙	fiA	giew	ɡjew	ɡjew	ɡiew	ɡiᴇu˧	羣開三A宵平	羣	開	三A	宵	平	稀有合法	
685	燎	力昭	IiA	liew	lew	lew	liew	liᴇu˧	來開三宵平	來	開	三	宵	平	強合法	
686	趫	起囂	eiE	khyew	kʰɹew	kʰɹew	kʰɨew	kʰɣiᴇu˧	溪開三B宵平	溪	開	三B	宵	平	強合法	
687	肴	胡茅	jjA	ghaew	ʁaˤw	ʁaˤw	ɣæw	ɦɣæu˧	匣開二肴平	匣	開	二	肴	平	強合法	
688	交	古肴	djA	kaew	qaˤw	qaˤw	kæw	kɣæu˧	見開二肴平	見	開	二	肴	平	強合法	
689	巢	鉏交	UjA	dzraew	dʐaˤw	dʐaˤw	dʐæw	dʐɣæu˧	崇開二肴平	崇	開	二	肴	平	強合法	
690	鐃	女交	MjA	nraew	ɳaˤw	ɳaˤw	ɳæw	ɳɣæu˧	孃開二肴平	孃	開	二	肴	平	強合法	
691	梢	所交	VjA	sraew	ʂaˤw	ʂaˤw	ʂæw	ʂɣæu˧	生開二肴平	生	開	二	肴	平	強合法	
692	茅	莫交	DjA	maew	maˤw	ᵯaˤw	mæw	mɣæu˧	明二肴平	明		二	肴	平	強合法	
693	虓	許交	ijA	haew	χaˤw	χaˤw	xæw	hɣæu˧	曉開二肴平	曉	開	二	肴	平	強合法	
694	包	布交	AjA	paew	paˤw	ᵱaˤw	pæw	pɣæu˧	幫二肴平	幫		二	肴	平	強合法	
695	胞	匹交	BjA	phaew	pʰaˤw	ᵱʰaˤw	pʰæw	pʰɣæu˧	滂二肴平	滂		二	肴	平	強合法	
696	敲	口交	ejA	khaew	qʰaˤw	qʰaˤw	kʰæw	kʰɣæu˧	溪開二肴平	溪	開	二	肴	平	強合法	
697	聱	五交	gjA	ngaew	ɴaˤw	ɴaˤw	ŋæw	ŋɣæu˧	疑開二肴平	疑	開	二	肴	平	強合法	
698	𦗔	側交	SjA	tsraew	tʂaˤw	tʂaˤw	tʂæw	tʂɣæu˧	莊開二肴平	莊	開	二	肴	平	強合法	
699	嘲	陟交	JjA	traew	ʈaˤw	ʈaˤw	ʈæw	ʈɣæu˧	知開二肴平	知	開	二	肴	平	強合法	
700	䜈	楚交	TjA	tsrhaew	tʂʰaˤw	tʂʰaˤw	tʂʰæw	tʂʰɣæu˧	初開二肴平	初	開	二	肴	平	強合法	
701	庖	薄交	CjA	baew	baˤw	ᵬaˤw	bæw	bɣæu˧	並二肴平	並		二	肴	平	強合法	
702	䫜	於交	hjA	qaew	ʔaˤw	ʡaˤw	ʔæw	ʔɣæu˧	影開二肴平	影	開	二	肴	平	強合法	
703	䫸	敕交	KjA	trhaew	ʈʰaˤw	ʈʰaˤw	ʈʰæw	ʈʰɣæu˧	徹開二肴平	徹	開	二	肴	平	強合法	
704	顟	力嘲	IjA	laew	ɫaˤw	ɫaˤw	læw	lɣæu˧	來開二肴平	來	開	二	肴	平	弱非法	
705	䄻	直交	LjA	draew	ɖaˤw	ɖaˤw	ɖæw	ɖɣæu˧	澄開二肴平	澄	開	二	肴	平	強合法	
706	豪	胡刀	jkA	ghaw	ʁʌw	ʁʌw	ɣaw	ɦɑu˧	匣開一豪平	匣	開	一	豪	平	強合法	
707	高	古勞	dkA	kaw	qʌw	qʌw	kaw	kɑu˧	見開一豪平	見	開	一	豪	平	強合法	
708	勞	魯刀	IkA	law	ɫʌw	ɫʌw	law	lɑu˧	來開一豪平	來	開	一	豪	平	強合法	
709	蒿	呼毛	ikA	haw	χʌw	χʌw	xaw	hɑu˧	曉開一豪平	曉	開	一	豪	平	強合法	
710	毛	莫袍	DkA	maw	mʌw	ᵯʌw	maw	mɑu˧	明一豪平	明		一	豪	平	強合法	
711	饕	土刀	FkA	thaw	tʰʌw	tʰʌw	tʰaw	tʰɑu˧	透開一豪平	透	開	一	豪	平	強合法	
712	刀	都牢	EkA	taw	tʌw	tʌw	taw	tɑu˧	端開一豪平	端	開	一	豪	平	強合法	
713	騷	蘇遭	QkA	saw	sʌw	sʌw	saw	sɑu˧	心開一豪平	心	開	一	豪	平	強合法	
714	袍	薄襃	CkA	baw	bʌw	ᵬʌw	baw	bɑu˧	並一豪平	並		一	豪	平	強合法	
715	襃	博毛	AkA	paw	pʌw	ᵱʌw	paw	pɑu˧	幫一豪平	幫		一	豪	平	強合法	
716	陶	徒刀	GkA	daw	dʌw	dʌw	daw	dɑu˧	定開一豪平	定	開	一	豪	平	強合法	
717	糟	作曹	NkA	tsaw	tsʌw	tsʌw	tsaw	tsɑu˧	精開一豪平	精	開	一	豪	平	強合法	
718	敖	五勞	gkA	ngaw	ɴʌw	ɴʌw	ŋaw	ŋɑu˧	疑開一豪平	疑	開	一	豪	平	強合法	
719	曹	昨勞	PkA	dzaw	dzʌw	dzʌw	dzaw	dzɑu˧	從開一豪平	從	開	一	豪	平	強合法	
720	𤏶	於刀	hkA	qaw	ʔʌw	ʡʌw	ʔaw	ʔɑu˧	影開一豪平	影	開	一	豪	平	強合法	
721	猱	奴刀	HkA	naw	nʌw	nʌw	naw	nɑu˧	泥開一豪平	泥	開	一	豪	平	強合法	
722	尻	苦刀	ekA	khaw	qʰʌw	qʰʌw	kʰaw	kʰɑu˧	溪開一豪平	溪	開	一	豪	平	強合法	
723	操	七刀	OkA	tshaw	tsʰʌw	tsʰʌw	tsʰaw	tsʰɑu˧	清開一豪平	清	開	一	豪	平	強合法	
724	㯱	普袍	BkA	phaw	pʰʌw	ᵱʰʌw	pʰaw	pʰɑu˧	滂一豪平	滂		一	豪	平	強合法	
725	歌	古俄	dlA	ka	qa	qa	kɑ	kɑ˧	見開一歌平	見	開	一	歌	平	強合法	
