小韻號,首字,音韻地位,反切,直音,細分轄字
534,鑽,精合一寒平,借官,,
535,槃,並一寒平,薄官,,
536,瞞,明一寒平,母官,,
537,潘,滂一寒平,普官,,
538,𤳖,幫一寒平,北潘,,
539,刪,生開二刪平,所姦,,
540,關,見合二刪平,古還,,
541,彎,影合二刪平,烏關,,
542,𣟴,生合二刪平,數還,,
543,還,匣合二刪平,戶關,,
544,班,幫二刪平,布還,,
545,蠻,明二刪平,莫還,,
546,顏,疑開二刪平,五姦,,
547,姦,見開二刪平,古顏,,
548,攀,滂二刪平,普班,,
549,奻,孃合二刪平,奴還,,
550,𤸷,疑合二刪平,五還,,
551,馯,溪開二刪平,丘姦,,
552,豻,溪開二刪平,可顏,,
553,跧,莊合二刪平,阻頑,,
554,山,生開二山平,所閒,,
555,鰥,見合二山平,古頑,,
556,閒,見開二山平,古閑,,
557,閑,匣開二山平,戶閒,,
558,慳,溪開二山平,苦閑,,
559,虥,崇開二山平,士山,,
560,羴,曉開二山平,許閒,,
561,訮,疑開二山平,五閑,,
562,黰,影開二山平,烏閑,,
563,斒,幫二山平,方閑,,
564,斕,來開二山平,力閑,,
565,嘫,孃開二山平,女閑,,
566,㺗,昌開三仙平,充山,,
567,𡣬,影合二山平,委鰥,,
568,窀,澄合二山平,墜頑,,
569,𡰠,來合三支平,力頑〈規〉,,
570,𡰝,羣合三B仙平,跪頑,,
571,譠,知開二山平,陟山,,
572,𤣆,澄開二山平,直閑,,
573,湲,匣合二山平,獲頑,,
574,虥,崇開二山平,昨閑,,
575,先,心開四先平,蘇前,,
576,前,從開四先平,昨先,,
577,千,清開四先平,蒼先,,
578,箋,精開四先平,則前,,
579,天,透開四先平,他前,,
580,堅,見開四先平,古賢,,
581,賢,匣開四先平,胡田,,
582,煙,影開四先平,烏前,,
583,蓮,來開四先平,落賢,,
584,田,定開四先平,徒年,,
585,秊,泥開四先平,奴顛,,
586,顛,端開四先平,都年,,
587,牽,溪開四先平,苦堅,,
588,妍,疑開四先平,五堅,,
589,眠,明四先平,莫賢,,
590,蹁,並四先平,部田,,
591,淵,影合四先平,烏玄,,
592,涓,見合四先平,古玄,,
593,鋗,曉合四先平,火玄,,
594,邊,幫四先平,布玄,,
595,玄,匣合四先平,胡涓,,
596,祆,曉開四先平,呼煙,,
597,𤜼,章開三陽入,崇〈？〉玄〈？〉,,
598,仙,心開三仙平,相然,,
599,錢,從開三仙平,昨仙,,
600,遷,清開三仙平,七然,,
601,煎,精開三仙平,子仙,,
602,然,日開三仙平,如延,,
603,延,以開三仙平,以然,,
604,𩜾,章開三仙平,諸延,,
605,甄,見開三A仙平,居延,,
606,邅,知開三仙平,張連,,
607,潺,崇開三仙平,士連,,
608,羶,書開三仙平,式連,,
609,脠,徹開三仙平,丑延,,
