小韻號	首字	反切	音韻地位	細分轄字
299	妻	七稽	清開四齊平	
300	低	都奚	端開四齊平	
301	嗁	杜奚	定開四齊平	
302	豍	邊兮	幫四齊平	
303	雞	古奚	見開四齊平	
304	奚	胡雞	匣開四齊平	
305	鷖	烏奚	影開四齊平	
306	倪	五稽	疑開四齊平	
307	醯	呼雞	曉開四齊平	
308	西	先稽	心開四齊平	
309	梯	土雞	透開四齊平	
310	鼙	部迷	並四齊平	
311	磇	匹迷	滂四齊平	
312	齎	祖稽	精開四齊平	
313	迷	莫兮	明四齊平	
314	泥	奴低	泥開四齊平	
315	谿	苦奚	溪開四齊平	
316	圭	古攜	見合四齊平	
317	睽	苦圭	溪合四齊平	
318	攜	戶圭	匣合四齊平	
319	臡	人兮	日開三祭平	
320	栘	成臡	常開三祭平	
321	烓	烏攜	影合四齊平	
322	睳	呼攜	曉合四齊平	
323	佳	古膎	見開二佳平	
324	㥟	戶佳	匣開二佳平	
325	牌	薄佳	並二佳平	
326	媧	古蛙	見合二佳平	
327	蛙	烏媧	影合二佳平	
328	咼	苦緺	溪合二佳平	
329	柴	士佳	崇開二佳平	
330	釵	楚佳	初開二佳平	
331	竵	火媧	曉合二佳平	
332	䍲	㚷佳	孃開二佳平	
333	崖	五佳	疑開二佳平	
334	娃	於佳	影開二佳平	
335	崽	山佳	生開二佳平	
336	㗨	火佳	曉開二佳平	
337	扠	丑佳	徹開二佳平	
338	䁲	莫佳	明二佳平	
339	鼃	戶媧	匣合二佳平	
340	皆	古諧	見開二皆平	
341	𢰇	乙諧	影開二皆平	
342	諧	戶皆	匣開二皆平	
343	排	步皆	並二皆平	
344	乖	古懷	見合二皆平	
345	懷	戶乖	匣合二皆平	
346	匯	苦淮	溪合二皆平	
347	豺	士皆	崇開二皆平	
348	差	楚皆	初開二皆平	
349	虺	呼懷	曉合二皆平	
350	尵	杜懷	澄合二皆平	
351	埋	莫皆	明二皆平	
352	齋	側皆	莊開二皆平	
353	崴	乙皆（乖）	影合二皆平	
354	𪘨	卓皆	知開二皆平	
355	唻	賴諧	來開一咍平	
356	揩	口皆	溪開二皆平	
357	搱	諧〈諾〉皆	孃開二皆平	
358	崽	山皆	生開二皆平	
359	𩂢	擬皆	疑開二皆平	
360	搋	丑皆	徹開二皆平	
361	俙	喜皆	曉開二皆平	
362	䐯	力懷	來合二皆平	
363	膗	仕懷	崇合二皆平	
364	灰	呼恢	曉合一灰平	
365	恢	苦回	溪合一灰平	
366	隈	烏恢	影合一灰平	
367	回	戶恢	匣合一灰平	
368	枚	莫杯	明一灰平	
369	傀	公回	見合一灰平	
370	雷	魯回	來合一灰平	
371	穨	杜回	定合一灰平	
372	崔	倉回	清合一灰平	
373	磓	都回	端合一灰平	
374	𤗯	素回	心合一灰平	
375	摧	昨回	從合一灰平	
376	裴	薄回	並一灰平	
377	桮	布回	幫一灰平	
378	肧	芳杯	滂一灰平	
379	鮠	五灰	疑合一灰平	
380	𨌴	他回	透合一灰平	
381	𢆃	乃回	泥合一灰平	
382	嗺	臧回	精合一灰平	
383	咍	呼來	曉開一咍平	
384	開	苦哀	溪開一咍平	
385	哀	烏開	影開一咍平	
386	臺	徒哀	定開一咍平	
387	該	古哀	見開一咍平	
388	裁	昨哉	從開一咍平	
389	來	落哀	來開一咍平	
390	烖	祖才	精開一咍平	
391	猜	倉才	清開一咍平	
392	𤗏	扶來	並一灰平	
393	胎	土來	透開一咍平	
394	孩	戶來	匣開一咍平	
395	鰓	蘇來	心開一咍平	
396	皚	五來	疑開一咍平	
397	能	奴來	泥開一咍平	
398	𪒴	丁來	端開一咍平	
399	㹗	昌來〈求〉	昌三尤平	
400	𡜊	普才｟來｠〈求〉	滂三C尤平	
401	真	側（職）鄰	章開三真平	
402	𤣆	丑人	徹開三真平	
403	因	於真	影開三A真平	
404	新	息鄰	心開三真平	
405	辰	植鄰	常開三真平	
406	仁	如鄰	日開三真平	
407	神	食鄰	船開三真平	
408	親	七人	清開三真平	
409	礥	下珍〈殄〉	匣開四先上	
410	申	失人	書開三真平	
411	賓	必鄰	幫三A真平	
412	㷠	力珍	來開三真平	
413	𥎊	巨巾	羣開三B真平	
414	珍	陟鄰	知開三真平	
415	陳	直珍	澄開三真平	
416	津	將鄰	精開三真平	
417	瞋	昌真	昌開三真平	
418	秦	匠鄰	從開三真平	
419	寅	翼真	以開三真平	
420	紉	女鄰	孃開三真平	
421	繽	匹賓	滂三A真平	
422	頻	符真	並三A真平	
423	銀	語巾	疑開三B真平	
424	巾	居銀	見開三B真平	
425	麏	居筠	見合三B真平	
426	筠	爲贇	云合三B真平	
427	囷	去倫	溪合三B真平	
428	珉	武巾	明三B真平	
429	貧	符巾	並三B真平	
430	𪔗	於巾	影開三B真平	
431	贇	於倫	影合三B真平	
432	彬	府巾	幫三B真平	
433	民	彌鄰	明三A真平	
434	諄	章倫	章合三真平	
435	椿	丑倫	徹合三真平	
436	䣩	直倫	澄合三真平	
437	荀	相倫	心合三真平	
438	純	常倫	常合三真平	
439	犉	如勻	日合三真平	
440	脣	食倫	船合三真平	
441	淪	力迍	來合三真平	
442	屯	陟綸	知合三真平	
443	逡	七倫	清合三真平	
444	遵	將倫	精合三真平	
445	春	昌脣	昌合三真平	
446	鷷	昨旬	從合三真平	
